pub_date	title	venue	excerpt	citation	url_slug	paper_url
2006-01-01	The impact of in situ Chemical Oxidation on Microbiological Processes: A Review	Remediation		Sahl, J.W., J. Munakata-Marr. The impact of in situ Chemical Oxidation on Microbiological Processes: A Review (2006). Remediation. 16(3): 57-70.	Sahl-1	https://onlinelibrary.wiley.com/doi/pdf/10.1002/rem.20091
2007-01-01	Coupling Permanganate Oxidation with Microbial Dechlorination of Tetrachloroethene	Water Environment Research		Sahl, J.W., J. Munakata-Marr, M.L. Crimi, R.L. Siegrist (2006).  Coupling Permanganate Oxidation with Microbial Dechlorination of Tetrachloroethene.  Water Environment Research.  79(1): 5-12.	Sahl-2	https://www.jstor.org/stable/23805197?seq=1#page_scan_tab_contents
2007-11-02	Subsurface Microbial Diversity in Deep Granitic Fracture Water, Colorado, USA	Applied and Environmental Microbiology		Sahl, J.W., R. Schmidt, E.D. Swanner, K.W. Mandernack, A.S. Templeton, T.L. Kieft, R.L. Smith, W.E. Sanford, R.L. Callaghan, J.B. Mitton, J.R. Spear (2008).  Subsurface Microbial Diversity in Deep Granitic Fracture Water, Colorado, USA. Appl. Environ. Microbiol., 74(1): 143-152.	Sahl-3	http://aem.asm.org/content/74/1/143.full
2008-08-29	Comparative Molecular Analysis of Endoevaporitic Microbial Communities	Applied and Environmental Microbiology		Sahl, J.W., N.R. Pace, J.R. Spear (2008).  Comparative Molecular Analysis of Endoevaporitic Microbial Communities. Appl. Environ. Microbiol. 74(20): 6417-6426.	Sahl-4	http://aem.asm.org/content/74/20/6444.full
2009-10-02	Introducing mothur: Open-source, platform-independent, community-supported software for describing and comparing microbial communities	Applied and Environmental Microbiology		Schloss, P.D., S.L. Westcott, T. Ryabin, J.R. Hall, M. Hartmann, E.B. Hollister, R.A. Lesniewski, B.B. Oakley, D.H. Parks, C.J. Robinson, J.W. Sahl, B. Stres, G.G. Thallinger, D.J. Van Horn, C.F. Weber (2009). Introducing mothur: Open-source, platform-independent, community-supported software for describing and comparing microbial communities.  Appl. Environ. Microbiol., 75(23): 7537-7541.	Sahl-5	http://aem.asm.org/content/75/23/7537.full
2009-03-20	Microbial diversity of septic tank effluent and a soil biomat	Applied and Environmental Microbiology		J. Tomaras, J.W. Sahl, R.L. Siegrist, J.R. Spear (2009).  Microbial diversity of septic tank effluent and a soil biomat.  Appl. Environ. Microbiol.  75(10): 3348-3351.	Sahl-6	http://aem.asm.org/content/75/10/3348.full
2010-04-19	Novel microbial diversity retrieved by autonomous robotic exploration of the world's deepest vertical phreatic sinkhole	Astrobiology		Sahl, J.W., Fairfield, N., J.K. Harris, D. Wettergreen, W.C. Stone, J.R. Spear (2010). Novel microbial diversity retrieved by autonomous robotic exploration of the world's deepest vertical phreatic sinkhole.  Astrobiology, 10(2): 201-213.	Sahl-7	https://www.liebertpub.com/doi/abs/10.1089/ast.2009.0378?journalCode=ast
2010-04-23	Comparison of normalization methods for construction of large, multiplex amplicon pools for next-generation sequencing	Applied and Environmental Microbiology		J.K. Harris, J.W. Sahl, T.A. Castoe, B.D. Wagner, D.P. Pollock, J.R. Spear (2010).  Comparison of normalization methods for construction of large, multiplex amplicon pools for next-generation sequencing.  Appl. Environ. Microbiol. 76(12): 3863-3868.	Sahl-8	http://aem.asm.org/content/76/12/3863
2010-05-25	Chemical sensing in mammalian host-bacterial commensal associations	PNAS		 D.T. Hughes, D.A. Terekhova, L. Liou, C.J. Hovde, J.W. Sahl, A.V. Patankar, J.E.     Gonzalez, T.S. Edrington, D.A. Rasko, and V. Sperandio (2010).  Chemical sensing in mammalian host-bacterial commensal associations.  Proc. Natl. Acad. Sci. USA. 107(21):9831-9836.	Sahl-9	http://www.pnas.org/content/107/21/9831/tab-figures-data
2010-08-25	A comparative molecular analysis of water-filled limestone sinkholes in north-eastern Mexico	Environmental Microbioogy		Sahl, J.W., M.O. Gary, J.K. Harris, J.R. Spear (2011). A comparative molecular analysis of water-filled limestone sinkholes in north-eastern Mexico.  Environ. Microbiol.  13(1):226-240.	Sahl-10	https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1462-2920.2010.02324.x
2010-11-15	A comparative genomic analysis of diverse clonal types of enterotoxigenic Escherichia coli reveals pathovar-specific conservation	Infection and Immunity		Sahl, J.W., H. Steinsland, J.C. Redman, S.V. Angiuoli, J.P. Nataro, H. Sommerfelt, D.A. Rasko (2011). A comparative genomic analysis of diverse clonal types of enterotoxigenic Escherichia coli reveals pathovar-specific conservation. Infect. Immun. 79(2):950-960	Sahl-11	http://iai.asm.org/content/79/2/950.long
